first_name,last_name,gender,street_address,first_visit
Jordan,Harvey,FEMALE,47475 Sleepy River Twist,04/20/2013
Anthony,White,MALE,66490 Honey Treasure Road,02/09/2013
Robert,Mingo,FEMALE,4899 Honey Squirrel Street,07/06/2013
Linda,Ramsey,FEMALE,3621 Pleasant Lamb Wander,07/05/2013
Mark,Wiley,MALE,10218 Ivory Apple Glen,01/11/2013
James,Husband,FEMALE,72090 Gentle Leaf Meadow,07/28/2013
Eric,Lapointe,FEMALE,246 Rose Gate Bluff,04/13/2013
Frederick,Mathews,FEMALE,3799 Noble Willow Wander,06/02/2013
David,Smith,MALE,60565 Pied Branch Hollow,05/06/2013
Mark,Keyes,MALE,87701 Silver Squirrel Niche,07/29/2013
William,Hall,MALE,45067 Lost Rock Run,09/27/2012
Eugene,Norcross,MALE,7543 Still Barn Stroll,04/28/2013
Dottie,Roller,FEMALE,29519 Umber Bird Flats,07/19/2013
Salvador,Fairbanks,FEMALE,1565 Long Spring Promenade,07/14/2013
Thomas,Mccray,MALE,75837 Emerald Harbor Bayou,05/24/2013
Rosa,Mccombs,FEMALE,32669 Burning Blossom Meadow,06/25/2013
Mark,Fowler,FEMALE,224 Red Leaf Turn,02/07/2013
Allen,Hoke,MALE,6565 White Crow Isle,04/27/2013
Susan,Shattuck,OTHER,14572 Rustic Chestnut Ramble,07/21/2013
Julie,Lopez,FEMALE,66261 Velvet Zephyr Chase,06/11/2013
Amy,Bowen,MALE,93770 Windy Wagon Arbor,04/30/2013
Isaac,Hatfield,MALE,8024 Heather Bridge Niche,04/21/2013
Jean,Cross,MALE,0 Strong Castle Flats,07/19/2013
Nicholas,Luton,MALE,69152 Red Rise Ledge,06/24/2013
Thomas,Cherry,FEMALE,66525 High Wagon Path,05/30/2013
Guillermina,Hall,MALE,94669 Sandy Oak Avenue,07/09/2013
Charles,Banks,MALE,86122 Lazy Prairie Bend,07/18/2013
Yolanda,Saunders,OTHER,88181 Stony Autumn Falls,07/15/2013
Willie,Gaines,FEMALE,9471 Blue Willow Ridge,07/24/2013
Lori,Sharp,FEMALE,96904 Sunny Pumpkin Jetty,06/14/2013
Benjamin,Baker,MALE,14276 Golden Nest Trail,06/16/2013
Marcelino,Hodge,MALE,6 Old Rise Crest,05/10/2013
Marcela,Martin,MALE,2124 Hush Anchor Point,05/30/2013
Verna,Harris,FEMALE,95242 Cotton Nest Lagoon,07/24/2013
Frank,Gibson,FEMALE,17375 Umber Creek Round,07/08/2013
Kandis,Wilson,MALE,10479 Misty Butternut Meadow,06/12/2013
Ronald,Barksdale,OTHER,7479 Silver Brook Saunter,06/29/2013
Melinda,Migues,FEMALE,26413 Merry Log Heights,03/04/2013
Ouida,Curtis,MALE,12226 Small Mill Bank,06/20/2013
Salina,Waugh,MALE,69927 Calm Pumpkin Race,07/13/2013
Albert,Murry,MALE,1077 Lazy Berry Isle,07/02/2013
Henry,Marra,MALE,91696 Shady Branch Ledge,06/29/2013
Douglas,Cobb,MALE,27714 Old Crow Stroll,05/02/2013
Virginia,Mann,MALE,50944 Hazy Prairie Ridge,01/29/2013
Tequila,Kalb,OTHER,12190 Thunder Nectar Valley,03/26/2012
Reba,Navarro,FEMALE,57687 Blue Beaver Stead,05/25/2013
Sarah,Cline,MALE,66891 White Leaf Haven,04/09/2013
Mae,Brewster,MALE,85773 Tender Castle Avenue,07/24/2013
Lissette,Delbosque,FEMALE,672 Dusty Diamond Canyon,06/26/2013
Erica,Sevin,MALE,1865 Harvest Embers Lagoon,07/22/2013
Shauna,Stroud,MALE,83578 Noble Quail Round,09/14/2012
David,Cruz,FEMALE,35644 Pearl Forest Edge,05/02/2013
Carla,Hamm,FEMALE,40539 Iron Rise Trace,07/23/2013
Justin,Bridgeman,MALE,43012 White Snake Vale,05/26/2013
Barbara,Kane,MALE,67277 Quaking Crow Woods,04/09/2013
Russell,Garcia,MALE,4780 Hazy Shadow Knoll,06/07/2013
Joseph,Vandenbosch,MALE,25638 Crystal Fox Way,07/31/2013
Kathryn,Donnelly,MALE,14896 Misty Stone Vale,07/30/2013
Harley,Llewellyn,FEMALE,110 Pearl Blossom Edge,06/19/2013
Alba,Cummings,TRANS,24587 Small Maple Glade,04/29/2013
Valerie,Dandrea,FEMALE,4187 Stony Anchor Run,12/07/2012
Lillian,Ewing,MALE,49842 Cotton Brook Bank,04/29/2013
